@relation 'similarity values'

@attribute EXPERT {0.0,1.0}
@attribute FullDescriptionMatcher numeric
@attribute GeneralBagForAnnotationLabel[Levenshtein] numeric
@attribute GeneralBagForAnnotationLabel[QGramsDistance] numeric
@attribute GeneralBagForAnnotationLabel[SmithWaterman] numeric
@attribute GeneralBagForAnnotationLabel[Stoilos_JW] numeric
@attribute SoftJaccardLinStoilois numeric

@data
0.0,0.045591,0.142857,0.111111,0.142857,-0.9,0
0.0,0,0,0,0,-1,0
0.0,0,0,0,0.142857,-1,0
0.0,0.220393,0.2,0,0.285714,-1,0
0.0,0,0,0,0.142857,-1,0
0.0,0.017278,0.1,0,0.142857,-1,0
0.0,0,0.285714,0,0.25,-1,0
0.0,0.040141,0.176471,0,0.285714,-1,0
0.0,0,0,0,0,-1,0
0.0,0,0.083333,0,0.142857,-1,0
0.0,0,0.230769,0.08,0.142857,-1,0
0.0,0,0.125,0,0.142857,-1,0
0.0,0.154236,0,0,0.142857,-1,0
0.0,0,0.142857,0,0.142857,-1,0
0.0,0,0.25,0.083333,0.285714,-1,0.610561
0.0,0,0.333333,0.095238,0.357143,-1,0
0.0,0.015025,0,0,0.166667,-1,0
0.0,0,0.142857,0,0.25,-1,0
0.0,0,0.111111,0,0.142857,-1,0
0.0,0,0,0,0.285714,-1,0
0.0,0,0.222222,0,0.142857,-1,0
0.0,0,0.1,0,0.214286,-1,0
0.0,0,0.142857,0,0.25,-1,0
0.0,0,0.444444,0.095238,0.357143,-1,0
0.0,0.031073,0.142857,0,0.25,-1,0
0.0,0.183407,0.111111,0,0.142857,-1,0
0.0,0.020491,0.222222,0,0.285714,-1,0
0.0,0.158623,0,0,0.333333,-1,0
0.0,0.170341,0,0,0.166667,-1,0
0.0,0.060588,0.133333,0,0.285714,-1,0
0.0,0,0.090909,0,0.142857,-1,0
0.0,0.045591,0.142857,0.111111,0.142857,-0.9,0
0.0,0.233923,0.125,0.105263,0.285714,-0.9,0
1.0,1,1,1,1,1,1
0.0,0.417153,0,0,0,-1,0.671426
0.0,0.399971,0.142857,0,0.285714,-1,0
0.0,0.12241,0.2,0.095238,0.357143,-1,0
0.0,0.41051,0,0.105263,0.428571,0.018321,0.694136
0.0,0.454073,0.1,0,0.285714,-1,0
0.0,0.12959,0.285714,0.133333,0.375,-1,0
0.0,0.688902,0.272727,0.181818,0.285714,-1,0
0.0,0.51266,0,0,0.166667,-1,0.456573
0.0,0.493907,0.166667,0,0.357143,-1,0
0.0,0.503292,0.153846,0,0.214286,-1,0
0.0,0.309197,0,0,0.142857,-1,0
0.0,0.077885,0.181818,0,0.285714,-1,0
0.0,0.555427,0.176471,0.066667,0.142857,-1,0
0.0,0.346144,0.166667,0,0.285714,-1,0
0.0,0.3285,0.111111,0,0.142857,-1,0
0.0,0.328297,0.142857,0,0.166667,-1,0
0.0,0.348821,0.142857,0,0.375,-1,0
0.0,0.436817,0,0,0.142857,-1,0
0.0,0.31511,0.307692,0.08,0.285714,-1,0.446403
0.0,0.144721,0.222222,0.095238,0.142857,-1,0
0.0,0.020635,0.2,0,0.142857,-1,0
0.0,0.708937,0.285714,0.133333,0.75,0.38152,0
0.0,0.33678,0.111111,0,0.142857,-1,0
0.0,0.393726,0.285714,0,0.25,-1,0
0.0,0.33477,0.222222,0,0.142857,-1,0
0.0,0.538853,0.222222,0.1,0.214286,-1,0
0.0,0.688665,0.142857,0,0.333333,-1,0
0.0,0.025047,0.142857,0,0.166667,-1,0
0.0,0.805217,0.266667,0,0.428571,-1,0
0.0,0.361121,0.181818,0,0.142857,-1,0
0.0,0,0,0,0,-1,0
0.0,0.237104,0,0,0,-1,0
0.0,0.416054,0,0,0,-1,0.671426
1.0,1,1,1,1,1,1
0.0,0.39987,0.571429,0.533333,1,0.836364,0.852103
0.0,0.802035,0.1,0,0.375,-1,0
0.0,0.311053,0.5,0.5,1,0.8,0.649534
0.0,0.864433,0.2,0,0.25,-1,0.741415
0.0,0.098814,0,0,0,-1,0
0.0,0.282295,0.117647,0,0.25,-1,0
0.0,0.422931,0.666667,0.533333,1,0.8,0.666667
0.0,0.47142,0.166667,0,0.25,-1,0.500628
0.0,0.785419,0.076923,0,0.25,-1,0
0.0,0.301758,0.125,0,0.25,-1,0
0.0,0.395846,0.090909,0,0.25,-1,0
0.0,0.433577,0.142857,0,0.25,-1,0.676038
0.0,0.349636,0.083333,0,0.25,-1,0
0.0,0.332965,0,0,0,-1,0
0.0,0.484624,0,0,0,-1,0.827582
0.0,0.356316,0,0,0,-1,0
0.0,0.901021,0.222222,0,0.375,-1,0
0.0,0.318289,0.153846,0,0.25,-1,0.447774
0.0,0.007091,0,0,0,-1,0
0.0,0.018901,0.1,0,0.25,-1,0
0.0,0.660763,0,0,0,-1,0
0.0,0.341359,0,0,0,-1,0
0.0,0.954975,0.25,0,0.25,-1,0
0.0,0.395846,0.111111,0,0.25,-1,0
0.0,0.842826,0,0,0,-1,0
0.0,0.26167,0.166667,0,0.25,-1,0
0.0,0.07938,0.333333,0,0.5,-1,0
0.0,0.325937,0.066667,0,0.25,-1,0
0.0,0.363491,0.090909,0,0.25,-1,0
0.0,0,0,0,0.142857,-1,0
0.0,0.41764,0,0,0.142857,-1,0
0.0,0.399971,0.142857,0,0.285714,-1,0
0.0,0.400927,0.571429,0.533333,1,0.836364,0.852103
1.0,1,1,1,1,1,1
0.0,0.076388,0.2,0.057143,0.214286,-1,0
0.0,0.510674,0.625,0.526316,0.571429,0.478065,0.565124
0.0,0.439947,0.3,0,0.357143,-1,0
0.0,0.202709,0.142857,0,0.25,-1,0
0.0,0.372413,0.176471,0.068966,0.285714,-1,0
0.0,0.59951,0.285714,0.222222,0.666667,0.446845,0.579434
0.0,0.64955,0.333333,0,0.357143,-1,0
0.0,0.597558,0.153846,0,0.142857,-1,0
0.0,0.692768,0.125,0,0.142857,-1,0
0.0,0.28697,0.090909,0,0.142857,-1,0
0.0,0.144866,0.142857,0,0.142857,-1,0
0.0,0.67835,0.166667,0,0.357143,-1,0
0.0,0.586494,0.111111,0,0.142857,-1,0
0.0,0.600853,0,0,0.166667,-1,0.723638
0.0,0.684116,0,0,0,-1,0
0.0,0.441998,0.222222,0,0.214286,-1,0
0.0,0.617532,0.230769,0,0.142857,-1,0
0.0,0.002286,0,0,0.142857,-1,0
0.0,0.021326,0.3,0.090909,0.142857,-1,0
0.0,0.431666,0.142857,0.133333,0.25,-1,0
0.0,0.601278,0.111111,0,0.142857,-1,0
0.0,0.420709,0.142857,0,0.25,-1,0
0.0,0.103278,0.222222,0,0.142857,-1,0
0.0,0.355886,0.111111,0,0.142857,-1,0
0.0,0.338052,0.142857,0.117647,0.166667,-1,0
0.0,0.065699,0.142857,0,0.416667,-1,0
0.0,0.41267,0.2,0.074074,0.214286,-1,0
0.0,0.62653,0.181818,0,0.142857,-1,0
0.0,0,0,0,0.142857,-1,0
0.0,0.28208,0.125,0,0.214286,-1,0
0.0,0.41051,0,0.105263,0.428571,0.018321,0.694136
0.0,0.311875,0.5,0.5,1,0.8,0.649534
0.0,0.510674,0.625,0.526316,0.571429,0.478065,0.565124
0.0,0.018026,0.2,0.095238,0.285714,-0.9,0.75485
1.0,1,1,1,1,1,1
0.0,0.459023,0.2,0.095238,0.142857,-0.9,0.488085
0.0,0.166095,0.428571,0,0.625,-1,0
0.0,0.275964,0.235294,0.133333,0.285714,-1,0
0.0,0.632718,0.25,0.210526,0.666667,0.379121,0.490301
0.0,0.675889,0.166667,0,0.142857,-1,0.370707
0.0,0.559579,0.076923,0,0.1875,-1,0
0.0,0.370099,0.125,0,0.142857,-1,0
0.0,0.018962,0.090909,0,0.142857,-1,0
0.0,0.09026,0.25,0,0.142857,-1,0.445046
0.0,0.467305,0.25,0,0.285714,-1,0
0.0,0.396126,0.111111,0,0.214286,-1,0
0.0,0.402305,0.142857,0,0.166667,-1,0.548862
0.0,0.47129,0,0,0.25,-1,0
0.0,0.379737,0.333333,0,0.285714,-1,0
0.0,0.425408,0.307692,0,0.142857,-1,0.336159
0.0,0.203308,0.111111,0,0.285714,-1,0.399432
0.0,0.014719,0.2,0.086957,0.357143,-1,0
0.0,0.724858,0.5,0.5,1,0.666667,0.68337
0.0,0.406111,0.222222,0,0.214286,-1,0
0.0,0.296834,0.142857,0,0.375,-1,0
0.0,0.096985,0.222222,0.2,0.285714,-1,0
0.0,0.364744,0.111111,0,0.285714,-1,0
0.0,0.240972,0.375,0.222222,0.333333,-1,0
0.0,0.003151,0.142857,0,0.333333,-1,0
0.0,0.30271,0.333333,0.142857,0.285714,-1,0
0.0,0.439032,0.090909,0,0.142857,-1,0
0.0,0.017176,0.1,0,0.142857,-1,0
0.0,0.257078,0.2,0,0.125,-1,0
0.0,0.451395,0.1,0,0.285714,-1,0
0.0,0.861606,0.2,0,0.25,-1,0.741415
0.0,0.437352,0.3,0,0.357143,-1,0
0.0,0.043895,0.3,0.166667,0.45,-0.229201,0
0.0,0.500283,0.2,0.095238,0.142857,-0.9,0.488085
1.0,1,1,1,1,1,1
0.0,0.109201,0.1,0,0.25,-1,0
0.0,0.308172,0.235294,0,0.2,-1,0
0.0,0.444959,0.1,0,0.25,-1,0.500628
0.0,0.509087,0.833333,0.769231,1,0.909091,0.68337
0.0,0.380917,0.153846,0,0.15,-1,0
0.0,0.330666,0,0,0.1875,-1,0
0.0,0.094128,0.363636,0.32,0.4,-0.024453,0
0.0,0.454492,0.176471,0,0.15,-1,0
0.0,0.381938,0.166667,0.148148,0.4,-0.058899,0
0.0,0.361016,0.1,0,0.222222,-1,0
0.0,0.52068,0,0,0.166667,-1,0
0.0,0.389348,0.1,0,0.25,-1,0
0.0,0.90795,0.1,0,0.222222,-1,0
0.0,0.347695,0.230769,0.142857,0.4,-0.089067,0
0.0,0.007836,0.1,0,0.111111,-1,0
0.0,0.020888,0.1,0,0.2,-1,0.498351
0.0,0.48812,0.1,0,0.25,-1,0
0.0,0.370117,0.1,0,0.111111,-1,0
0.0,0.763639,0.1,0,0.25,-1,0
0.0,0.156478,0.1,0,0.111111,-1,0
0.0,0.391361,0.1,0,0.166667,-1,0
0.0,0.290551,0.1,0,0.166667,-1,0
0.0,0.049591,0.2,0,0.333333,-1,0
0.0,0.355177,0.133333,0,0.2,-1,0
0.0,0.39819,0,0,0.1,-1,0
0.0,0.220393,0.2,0,0.285714,-1,0
0.0,0.026052,0.2,0,0.25,-1,0
0.0,0.12241,0.2,0.095238,0.357143,-1,0
0.0,0.802035,0.1,0,0.375,-1,0
0.0,0.076388,0.2,0.057143,0.214286,-1,0
1.0,1,1,1,1,1,1
0.0,0.018179,0.2,0.095238,0.285714,-0.9,0.75485
0.0,0.044532,0.3,0.166667,0.45,-0.229201,0
0.0,0.005702,0.15,0.111111,0.5,-1,0
0.0,0.104046,0.272727,0.08,0.3,-0.36672,0
0.0,0.023507,0.1,0,0.333333,-1,0
0.0,0.021242,0.25,0.1,0.375,-0.297945,0
0.0,0.67637,0.230769,0,0.2,-1,0
0.0,0.029599,0.3,0,0.25,-1,0
0.0,0.39175,0.2,0.102564,0.363636,-0.26628,0
0.0,0.165535,0.3,0.060606,0.214286,-1,0
0.0,0.017635,0.333333,0,0.3,-0.26851,0
0.0,0.036585,0.15,0.052632,0.333333,-0.371335,0
0.0,0.064253,0.15,0,0.333333,-1,0
0.0,0.12772,0.1,0,0.25,-1,0
0.0,0.064086,0.3,0,0.333333,-0.371335,0
0.0,0.016054,0.3,0.095238,0.307692,-0.325399,0
0.0,0.001484,0.4,0.083333,0.277778,-1,0
0.0,0,0.2,0.102564,0.2,-1,0
0.0,0.527532,0.1,0.0625,0.375,-1,0
0.0,0.037507,0.15,0.052632,0.333333,-0.371335,0
0.0,0.834121,0.2,0,0.5,-1,0
0.0,0.465843,0.15,0,0.222222,-1,0
0.0,0.677096,0.7,0.608696,0.777778,0.651615,0
0.0,0.087151,0.15,0.058824,0.333333,-1,0
0.0,0.432656,0.15,0,0.25,-1,0
0.0,0.110155,0.3,0.090909,0.2,-0.9,0
0.0,0.016331,0.1,0,0.181818,-1,0
0.0,0,0.285714,0,0.25,-1,0
0.0,0.104089,0.25,0,0.25,-1,0
0.0,0.12959,0.285714,0.133333,0.375,-1,0
0.0,0.099076,0,0,0,-1,0
0.0,0.202709,0.142857,0,0.25,-1,0
0.0,0.005653,0.15,0.111111,0.5,-1,0
0.0,0.166095,0.428571,0,0.625,-1,0
0.0,0.109849,0.1,0,0.25,-1,0
1.0,1,1,1,1,1,1
0.0,0.09686,0.272727,0.210526,0.25,-0.9,0
0.0,0.186892,0,0,0,-1,0
0.0,0.195474,0.083333,0,0.25,-1,0
0.0,0.1915,0.076923,0,0.25,-1,0
0.0,0.177715,0,0,0.25,-1,0
0.0,0.002156,0.090909,0,0.25,-1,0
0.0,0.033608,0.117647,0.074074,0.25,-1,0
0.0,0.187169,0.166667,0,0.5,-1,0
0.0,0.146173,0.222222,0,0.375,-1,0
0.0,0.157744,0.166667,0,0.25,-1,0
0.0,0.186,0,0,0,-1,0
0.0,0.110361,0.111111,0,0.25,-1,0
0.0,0.170388,0.153846,0.090909,0.25,-1,0
0.0,0.002385,0.222222,0.111111,0.25,-1,0
0.0,0,0,0,0.25,-1,0
0.0,0.134718,0.25,0,0.375,-1,0
0.0,0.149857,0.222222,0,0.5,-1,0
0.0,0.096913,0,0,0,-1,0
0.0,0.002564,0.111111,0,0.25,-1,0
0.0,0.083354,0.111111,0.117647,0.25,-1,0
0.0,0.080143,0,0,0.25,-1,0
0.0,0.002381,0,0,0,-1,0
0.0,0.101298,0.133333,0,0.5,-1,0
0.0,0.192583,0.090909,0,0.25,-1,0
0.0,0.040141,0.176471,0,0.285714,-1,0
0.0,0.204592,0.117647,0,0.25,-1,0
0.0,0.688902,0.272727,0.181818,0.285714,-1,0
0.0,0.283041,0.117647,0,0.25,-1,0
0.0,0.372413,0.176471,0.068966,0.285714,-1,0
0.0,0.098824,0.272727,0.08,0.3,-0.36672,0
0.0,0.275964,0.235294,0.133333,0.285714,-1,0
0.0,0.31,0.235294,0,0.2,-1,0
0.0,0.09686,0.272727,0.210526,0.25,-0.9,0
1.0,1,1,1,1,1,1
0.0,0.321002,0.176471,0,0.166667,-1,0
0.0,0.332967,0.235294,0,0.181818,-1,0
0.0,0.321833,0.176471,0,0.115385,-1,0
0.0,0.282529,0.181818,0,0.25,-1,0
0.0,0.086688,0.117647,0,0.090909,-1,0
0.0,0.15428,0.181818,0.058824,0.285714,-1,0
0.0,0.302305,0.235294,0,0.25,-1,0
0.0,0.287309,0.090909,0,0.111111,-1,0
0.0,0.302161,0.181818,0,0.25,-1,0
0.0,0.304678,0.090909,0,0.25,-1,0
0.0,0.310569,0.181818,0,0.222222,-1,0
0.0,0.275202,0.176471,0.068966,0.153846,-1,0
0.0,0.003895,0.363636,0.08,0.333333,-0.203145,0
0.0,0.018168,0.176471,0.060606,0.2,-1,0.386235
0.0,0.253424,0.176471,0.153846,0.5,-1,0
0.0,0.294552,0.090909,0,0.111111,-1,0
0.0,0.288547,0.117647,0,0.375,-1,0
0.0,0.064973,0.181818,0,0.277778,-1,0
0.0,0.423824,0.363636,0.083333,0.333333,-0.33148,0
0.0,0.856704,0.352941,0.428571,1,0.521739,0.671328
0.0,0.039751,0.090909,0,0.166667,-1,0
0.0,0.811016,0.529412,0.315789,0.466667,-0.036471,0.5
0.0,0.308568,0.117647,0,0.181818,-1,0
0.0,0,0,0,0,-1,0
0.0,0.365073,0,0,0.166667,-1,0
0.0,0.51266,0,0,0.166667,-1,0.456573
0.0,0.424048,0.666667,0.571429,1,0.8,0.666667
0.0,0.59951,0.285714,0.235294,0.666667,0.446845,0.579434
0.0,0.023507,0.1,0,0.333333,-1,0
0.0,0.632718,0.25,0.222222,0.666667,0.379121,0.490301
0.0,0.447598,0.1,0,0.25,-1,0.500628
0.0,0.186892,0,0,0,-1,0
0.0,0.321002,0.176471,0,0.166667,-1,0
1.0,1,1,0.705882,1,1,1
0.0,0.85328,0.333333,0.181818,0.333333,-0.8,0.868199
0.0,0.756982,0.230769,0.166667,0.333333,-0.8,0.484843
0.0,0.424779,0.375,0.222222,0.333333,-0.8,0
0.0,0.3241,0.272727,0.190476,0.333333,-0.8,0
0.0,0.132538,0.117647,0,0.333333,-1,0.456483
0.0,0.545385,0.083333,0,0.25,-1,0
0.0,0.512673,0,0,0.166667,-1,0
0.0,0.477874,0,0,0.166667,-1,0.56276
0.0,0.549962,0,0,0.25,-1,0
0.0,0.77714,0.111111,0,0.25,-1,0
0.0,0.496488,0.153846,0,0.25,-1,0.342418
0.0,0.585671,0,0,0.166667,-1,0
0.0,0.034041,0.1,0,0.166667,-1,0
0.0,0.694463,0,0,0,-1,0
0.0,0.525596,0,0,0.166667,-1,0
0.0,0.391889,0.166667,0,0.25,-1,0
0.0,0.3241,0.111111,0,0.166667,-1,0
0.0,0.34365,0,0,0.166667,-1,0
0.0,0.284027,0.166667,0,0.166667,-1,0
0.0,0.003644,0.333333,0,0.333333,-1,0
0.0,0.356837,0.133333,0,0.166667,-1,0
0.0,0.551915,0.181818,0,0.166667,-1,0
0.0,0,0.083333,0,0.142857,-1,0
0.0,0.394078,0.25,0,0.1875,-1,0
0.0,0.493907,0.166667,0,0.357143,-1,0
0.0,0.472665,0.166667,0,0.25,-1,0.500628
0.0,0.64955,0.333333,0,0.357143,-1,0
0.0,0.021063,0.25,0.1,0.375,-0.297945,0
0.0,0.675889,0.166667,0,0.142857,-1,0.370707
0.0,0.512107,0.833333,0.769231,1,0.909091,0.68337
0.0,0.195474,0.083333,0,0.25,-1,0
0.0,0.332967,0.235294,0,0.181818,-1,0
0.0,0.85328,0.333333,0.173913,0.333333,-0.8,0.868199
1.0,1,1,1,1,1,1
0.0,0.753583,0.307692,0.133333,0.166667,-0.8,0.475718
0.0,0.479756,0.25,0.166667,0.25,-0.8,0
0.0,0.022934,0.5,0.444444,0.363636,0.032401,0
0.0,0.13418,0.176471,0,0.166667,-1,0
0.0,0.592442,0.166667,0.137931,0.333333,-0.131783,0
0.0,0.553406,0.25,0,0.222222,-1,0
0.0,0.50927,0.083333,0,0.166667,-1,0
0.0,0.597091,0.083333,0,0.25,-1,0
0.0,0.482499,0.083333,0,0.222222,-1,0
0.0,0.539325,0.230769,0.133333,0.333333,-0.161283,0
0.0,0.245892,0.083333,0,0.111111,-1,0
0.0,0.035604,0.166667,0,0.2,-1,0.378505
0.0,0.74132,0.083333,0,0.25,-1,0
0.0,0.567356,0.166667,0,0.111111,-1,0
0.0,0.418654,0.166667,0,0.25,-1,0
0.0,0.116059,0.083333,0,0.111111,-1,0
0.0,0.409157,0.083333,0,0.222222,-1,0
0.0,0.284022,0.166667,0,0.166667,-1,0
0.0,0.003811,0.166667,0,0.333333,-1,0
0.0,0.356732,0.2,0,0.166667,-1,0
0.0,0.621533,0.166667,0,0.090909,-1,0
0.0,0,0.230769,0.083333,0.142857,-1,0
0.0,0.364271,0.153846,0,0.125,-1,0
0.0,0.503292,0.153846,0,0.214286,-1,0
0.0,0.785419,0.076923,0,0.25,-1,0
0.0,0.597558,0.153846,0,0.142857,-1,0
0.0,0.67637,0.230769,0,0.2,-1,0
0.0,0.559579,0.076923,0,0.1875,-1,0
0.0,0.383177,0.153846,0,0.15,-1,0
0.0,0.1915,0.076923,0,0.25,-1,0
0.0,0.321833,0.176471,0,0.115385,-1,0
0.0,0.756982,0.230769,0.166667,0.333333,-0.8,0.490301
0.0,0.753583,0.307692,0.137931,0.166667,-0.8,0.480971
1.0,1,1,0.83871,1,1,1
0.0,0.423936,0.230769,0.16,0.25,-0.8,0
0.0,0.239872,0.230769,0.142857,0.227273,-0.8,0
0.0,0.091807,0.176471,0,0.153846,-1,0
0.0,0.543203,0.153846,0.066667,0.083333,-1,0
0.0,0.511548,0.230769,0.074074,0.111111,-1,0
0.0,0.467473,0,0,0.166667,-1,0
0.0,0.547847,0.076923,0,0.25,-1,0
0.0,0.372586,0.076923,0,0.166667,-1,0
0.0,0.494502,0.076923,0,0.192308,-1,0
0.0,0.234829,0.307692,0,0.222222,-1,0
0.0,0.034268,0.153846,0,0.2,-1,0
0.0,0.774101,0.076923,0,0.375,-1,0
0.0,0.524443,0.307692,0.074074,0.111111,-1,0
0.0,0.822588,0.307692,0.181818,1,0.470588,0
0.0,0.239872,0.076923,0,0.111111,-1,0
0.0,0.848412,0.230769,0,0.222222,-1,0
0.0,0.272712,0.153846,0,0.25,-1,0
0.0,0.01429,0.076923,0,0.166667,-1,0
0.0,0.342521,0.066667,0,0.115385,-1,0
0.0,0.551007,0.153846,0,0.181818,-1,0
0.0,0,0.125,0,0.142857,-1,0
0.0,0.298967,0.125,0,0.125,-1,0
0.0,0.311104,0,0,0.142857,-1,0
0.0,0.301138,0.125,0,0.25,-1,0
0.0,0.696977,0.125,0,0.142857,-1,0
0.0,0.029495,0.3,0,0.25,-1,0
0.0,0.374999,0.125,0,0.142857,-1,0
0.0,0.331041,0,0,0.1875,-1,0
0.0,0.178599,0,0,0.25,-1,0
0.0,0.285822,0.181818,0,0.25,-1,0
0.0,0.430429,0.375,0.210526,0.333333,-0.8,0
0.0,0.485842,0.25,0.166667,0.25,-0.8,0
0.0,0.429605,0.230769,0.153846,0.25,-0.8,0
1.0,1,1,1,1,1,1
0.0,0.094725,0.181818,0.173913,0.25,-0.8,0
0.0,0.138765,0.375,0.210526,0.5,-0.081235,0
0.0,0.707329,0.083333,0,0.1875,-1,0
0.0,0.41984,0,0,0.125,-1,0
0.0,0.537576,0.25,0.222222,0.333333,-1,0
0.0,0.474552,0,0,0.25,-1,0
0.0,0.332585,0.222222,0,0.3125,-1,0
0.0,0.429031,0.153846,0,0.1875,-1,0
0.0,0.001419,0.111111,0,0.1875,-1,0
0.0,0.013242,0.1,0,0.125,-1,0
0.0,0.33002,0.125,0,0.25,-1,0
0.0,0.430423,0,0,0.125,-1,0
0.0,0.329644,0.125,0,0.25,-1,0
0.0,0.271953,0,0,0.125,-1,0
0.0,0.503633,0.222222,0,0.125,-1,0
0.0,0.270247,0.25,0,0.333333,-1,0
0.0,0.040795,0.25,0.111111,0.166667,-1,0
0.0,0.327458,0.133333,0,0.25,-1,0
0.0,0.696926,0.090909,0,0.125,-1,0
0.0,0.154236,0,0,0.142857,-1,0
0.0,0.089566,0.090909,0,0.125,-1,0
0.0,0.077885,0.181818,0,0.285714,-1,0
0.0,0.395846,0.090909,0,0.25,-1,0
0.0,0.28697,0.090909,0,0.142857,-1,0
0.0,0.388439,0.2,0.102564,0.363636,-0.26628,0
0.0,0.018962,0.090909,0,0.142857,-1,0
0.0,0.094686,0.363636,0.32,0.4,-0.024453,0
0.0,0.002156,0.090909,0,0.25,-1,0
0.0,0.086688,0.117647,0,0.090909,-1,0
0.0,0.3241,0.272727,0.181818,0.333333,-0.8,0
0.0,0.022934,0.5,0.444444,0.363636,0.032401,0
0.0,0.239872,0.230769,0.137931,0.227273,-0.8,0
0.0,0.101107,0.181818,0.173913,0.25,-0.8,0
1.0,1,1,1,1,1,1
0.0,0.293003,0.117647,0,0.181818,-1,0
0.0,0.012865,0.083333,0,0.181818,-1,0
0.0,0.125778,0.181818,0,0.166667,-1,0
0.0,0.037848,0.090909,0,0.166667,-1,0
0.0,0.012784,0.090909,0,0.375,-1,0
0.0,0.467497,0,0,0.222222,-1,0
0.0,0.011711,0.153846,0.137931,0.363636,-0.127867,0
0.0,0.002144,0,0,0.111111,-1,0
0.0,0,0.090909,0,0.25,-1,0
0.0,0.236988,0.090909,0,0.25,-1,0
0.0,0.128949,0.181818,0,0.166667,-1,0
0.0,0.270806,0.090909,0,0.25,-1,0
0.0,1,0.090909,0,0.166667,-1,0
0.0,0.310197,0,0,0.111111,-1,0
0.0,0.330861,0.090909,0,0.166667,-1,0
0.0,0.944427,0.181818,0,0.166667,-1,0.889276
0.0,0.329497,0.133333,0,0.090909,-1,0
0.0,0.027249,0.090909,0,0.136364,-1,0
0.0,0,0.142857,0,0.142857,-1,0
0.0,0.075412,0.176471,0,0.142857,-1,0
0.0,0.555427,0.176471,0.066667,0.142857,-1,0
0.0,0.444907,0.142857,0,0.25,-1,0.676038
0.0,0.146461,0.142857,0,0.142857,-1,0
0.0,0.165943,0.3,0.060606,0.214286,-1,0
0.0,0.091254,0.25,0,0.142857,-1,0.445046
0.0,0.468207,0.176471,0,0.15,-1,0
0.0,0.033978,0.117647,0.074074,0.25,-1,0
0.0,0.155979,0.181818,0.058824,0.285714,-1,0
0.0,0.133997,0.117647,0,0.333333,-1,0.456483
0.0,0.135657,0.176471,0,0.166667,-1,0
0.0,0.102579,0.176471,0,0.153846,-1,0
0.0,0.151114,0.375,0.210526,0.5,-0.081235,0
0.0,0.296229,0.117647,0,0.181818,-1,0
1.0,1,1,1,1,1,1
0.0,0.088758,0.25,0,0.357143,-1,0
0.0,0.105902,0.058824,0,0.111111,-1,0
0.0,0.099516,0.285714,0.235294,0.416667,-1,0
0.0,0.097214,0.117647,0,0.25,-1,0
0.0,0.472908,0.235294,0,0.222222,-1,0
0.0,0.0808,0.176471,0.054054,0.285714,-1,0
0.0,0.004119,0.235294,0.060606,0.277778,-1,0
0.0,0.095872,0.176471,0,0.214286,-1,0
0.0,0.389114,0.142857,0,0.25,-1,0
0.0,0.108571,0.058824,0,0.111111,-1,0
0.0,0.402338,0.142857,0,0.25,-1,0
0.0,0.352256,0.117647,0,0.142857,-1,0.450985
0.0,0.292453,0.222222,0.0625,0.214286,-1,0
0.0,0.166336,0.176471,0,0.333333,-1,0
0.0,0.259579,0.142857,0.117647,0.166667,-1,0
0.0,0.201697,0.2,0,0.285714,-1,0
0.0,0.124879,0.117647,0,0.214286,-1,0
